name	true_count
ENST00000456328.2	0.0
ENST00000450305.2	0.0
ENST00000488147.1	5.0
ENST00000473358.1	0.0
ENST00000466430.5	0.0
ENST00000471248.1	0.0
ENST00000495576.1	0.0
ENST00000484859.1	0.0
ENST00000624431.2	0.0
ENST00000623083.4	8.0
ENST00000448958.2	0.0
ENST00000441866.2	0.0
ENST00000634344.2	0.0
ENST00000424587.7	0.0
ENST00000455464.7	0.0
ENST00000432723.3	0.0
ENST00000357876.6	0.0
ENST00000441245.5	0.0
ENST00000434264.6	0.0
ENST00000585826.1	0.0
ENST00000592547.1	1.0
ENST00000448179.1	0.0
ENST00000398216.2	0.0
ENST00000483767.5	0.0
ENST00000327044.6	0.0
ENST00000477976.5	0.0
ENST00000492947.1	0.0
ENST00000456409.5	0.0
ENST00000379319.5	0.0
ENST00000482816.5	0.0
ENST00000379317.1	0.0
ENST00000506177.1	0.0
ENST00000565563.1	0.0
ENST00000438966.1	0.0
ENST00000463758.1	0.0
ENST00000470030.6	0.0
ENST00000540437.5	0.0
ENST00000545578.5	0.0
ENST00000620829.4	0.0
ENST00000618806.4	0.0
ENST00000435064.5	0.0
ENST00000497304.6	0.0
ENST00000323275.10	0.0
ENST00000411962.5	0.0
ENST00000462432.5	3.0
ENST00000478641.5	0.0
ENST00000421495.6	0.0
ENST00000458452.7	0.0
ENST00000419704.5	0.0
ENST00000532772.5	0.0
ENST00000450926.6	0.0
ENST00000527098.5	0.0
ENST00000485710.5	0.0
ENST00000525603.1	0.0
ENST00000490853.5	0.0
ENST00000463260.5	0.0
ENST00000496007.5	0.0
ENST00000482365.5	0.0
ENST00000607307.1	0.0
ENST00000495558.1	0.0
ENST00000378785.6	0.0
ENST00000472194.6	0.0
ENST00000359060.5	0.0
ENST00000366221.3	0.0
ENST00000477990.1	0.0
ENST00000512004.1	0.0
ENST00000341832.10	28.0
ENST00000407249.7	13.0
ENST00000615951.4	0.0
ENST00000340677.9	6.0
ENST00000611150.3	11.0
ENST00000629289.2	0.0
ENST00000626918.2	0.0
ENST00000629312.2	0.0
